,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
190,0.7,10,2.85,1.25,62.3,58.0,5.69,5.55,3.51,1806.1007861401104
191,1.57,6,4.28,3.75,62.0,60.0,7.4,7.44,4.6,7635.827026888941
192,1.02,6,10.0,5.0,63.2,58.0,6.4,6.36,4.03,4606.559292939481
193,1.5,10,7.14,5.0,62.4,57.0,7.38,7.29,4.58,7451.964730681533
194,0.7,6,8.57,6.25,62.7,60.0,5.59,5.64,3.52,2831.9830641060726
195,0.42,10,7.14,3.75,60.6,58.0,4.89,4.81,2.94,942.8597337782448
196,2.01,10,4.28,3.75,60.0,60.0,8.16,8.13,4.89,10805.318511313855
197,0.31,10,5.71,6.25,62.2,58.0,4.38,4.34,2.71,661.058457557896
198,0.44,4,8.57,7.5,61.9,56.0,4.91,4.88,3.03,1675.811139631307
199,0.7,4,10.0,7.5,61.7,55.0,5.73,5.75,3.54,3145.130255647113
200,1.2,10,1.42,3.75,60.0,61.0,6.89,6.84,4.12,5236.3096732505255
201,1.05,4,5.71,6.25,62.2,57.0,6.49,6.51,4.04,4781.270859340964
202,0.7,4,7.14,1.25,62.1,57.0,5.67,5.64,3.52,2096.5228910570804
203,0.53,10,7.14,3.75,60.9,59.0,5.21,5.23,3.18,1477.2280939846405
204,1.09,10,4.28,2.5,61.2,62.0,6.63,6.58,4.04,4430.3166596019455
205,0.92,10,8.57,2.5,61.8,59.0,6.19,6.11,3.8,3678.7436991772993
206,0.71,10,7.14,5.0,58.0,62.0,5.85,5.81,3.38,2843.027918687081
207,0.57,8,7.14,2.5,61.9,57.7,5.32,5.34,3.3,1499.6174718936982
208,0.71,6,5.71,5.0,63.5,59.0,5.67,5.63,3.59,2491.280549103454
209,0.89,10,5.71,3.75,61.1,58.0,6.24,6.17,3.79,3480.2342536442375
210,1.06,4,5.71,3.75,62.9,56.0,6.52,6.49,4.09,4446.069523766344
211,0.86,10,4.28,2.5,61.0,58.0,6.15,6.12,3.74,3043.5586016903308
212,1.1,10,5.71,5.0,60.2,58.0,6.75,6.71,4.05,4995.677031929417
213,0.7,4,8.57,3.75,62.5,57.0,5.7,5.72,3.57,2469.362609373062
214,1.04,10,5.71,6.25,61.5,61.0,6.56,6.51,4.02,4662.935254483127
215,0.93,10,8.57,1.25,62.3,60.0,6.23,6.2,3.87,3467.0883084605175
216,1.1,10,7.14,1.25,59.8,61.0,6.7,6.65,3.99,4626.298582218698
217,2.12,10,4.28,2.5,62.3,58.0,8.25,8.16,5.12,11050.567257488203
218,0.33,4,7.14,8.75,62.4,55.0,4.44,4.47,2.78,1227.9729200569109
219,0.9,2,2.85,5.0,65.8,55.0,6.05,6.01,3.97,3336.4716300832642
220,0.71,4,8.57,6.25,62.0,57.0,5.72,5.66,3.53,2965.183424296234
221,1.75,4,5.71,5.0,62.1,57.0,7.73,7.69,4.79,9108.29907957942
222,0.81,4,4.28,3.75,61.4,56.0,6.0,6.05,3.7,2917.568277328024
223,0.75,8,2.85,8.75,63.9,61.0,5.7,5.67,3.63,3068.1640028771544
224,0.4,4,5.71,5.0,62.6,56.0,4.69,4.74,2.95,942.7353619411188
225,0.34,4,5.71,5.0,62.1,55.0,4.49,4.46,2.78,703.633301722437
226,0.35,10,7.14,5.0,61.8,58.0,4.48,4.52,2.78,765.5786963587179
227,1.29,6,2.85,5.0,62.8,58.0,6.89,6.93,4.34,5855.390452114798
228,1.7,10,5.71,3.75,61.7,58.0,7.69,7.6,4.72,8600.412814722478
229,1.01,10,7.14,3.75,62.7,54.0,6.42,6.37,4.01,4210.995688808447
230,0.47,8,10.0,3.75,63.8,59.0,4.9,4.88,3.12,1319.8379365629316
231,0.71,10,8.57,3.75,59.2,59.0,5.86,5.83,3.46,2663.0984982157042
232,1.01,4,5.71,6.25,61.3,56.0,6.49,6.44,3.96,4621.629083823622
233,0.92,8,1.42,2.5,59.0,63.0,6.3,6.35,3.73,3358.7415955655233
234,0.31,4,7.14,8.75,61.6,55.0,4.36,4.41,2.7,1151.6973478488126
235,0.3,4,5.71,8.75,61.3,56.0,4.3,4.34,2.65,1027.443792938293
236,0.7,6,5.71,3.75,62.1,58.0,5.66,5.7,3.53,2313.30386873317
237,1.01,10,4.28,10.0,62.1,59.0,6.47,6.41,4.0,4890.6423910208305
238,1.5,6,4.28,2.5,62.5,60.0,7.25,7.32,4.55,6956.3565036170785
239,0.9,6,10.0,6.25,62.2,58.0,6.14,6.18,3.83,4104.791188479316
240,0.23,8,7.14,7.5,62.8,61.0,3.92,3.95,2.47,602.5359014293226
241,0.25,8,8.57,7.5,58.0,65.0,4.13,4.18,2.41,718.7669166510077
242,0.35,4,7.14,7.5,62.1,56.0,4.56,4.52,2.82,1158.7397682945902
243,0.73,6,10.0,2.5,60.4,59.0,5.8,5.86,3.52,2661.9673455332813
244,0.4,6,5.71,10.0,61.2,57.0,4.77,4.79,2.92,1639.33872347137
245,0.3,4,8.57,5.0,61.5,55.0,4.33,4.29,2.65,720.525651907903
246,1.01,10,1.42,7.5,62.7,59.0,6.46,6.39,4.03,4317.101381611275
247,0.51,4,10.0,2.5,62.5,55.0,5.12,5.15,3.21,1383.5148906712147
248,1.72,10,7.14,1.25,60.1,58.0,7.77,7.74,4.66,8666.258087698961
249,0.51,8,8.57,3.75,64.3,54.0,5.1,5.07,3.27,1394.2587535709517
250,0.7,4,8.57,6.25,62.2,58.0,5.67,5.71,3.54,2844.2870871951745
251,0.52,8,4.28,5.0,63.6,57.0,5.05,5.1,3.23,1380.7865101380103
252,1.01,10,7.14,2.5,62.2,59.0,6.41,6.38,3.98,4035.8527423483592
253,0.31,4,7.14,5.0,62.1,57.0,4.34,4.36,2.7,635.5630569323857
254,1.01,8,5.71,3.75,63.6,57.0,6.33,6.37,4.04,4034.456403075319
255,1.24,8,8.57,3.75,63.5,55.0,6.82,6.86,4.35,5592.74321913361
256,1.01,6,2.85,3.75,60.1,59.0,6.44,6.47,3.88,4161.990346336588
257,1.05,4,5.71,5.0,61.9,57.0,6.47,6.51,4.03,4583.662981761652
258,0.9,8,5.71,3.75,63.7,60.0,6.11,6.07,3.88,3385.1167517484682
259,0.56,4,8.57,5.0,61.6,57.0,5.3,5.32,3.27,1941.6402582472347
260,0.8,6,7.14,3.75,61.6,56.0,5.96,6.0,3.68,3028.935092579497
261,0.3,4,10.0,3.75,62.5,57.0,4.32,4.29,2.69,592.0387426523139
262,0.76,4,4.28,5.0,62.7,57.0,5.82,5.86,3.66,2734.5134721926806
263,1.21,10,4.28,3.75,59.8,58.0,6.95,6.9,4.14,5504.5179087473025
264,1.51,6,1.42,6.25,61.4,57.0,7.3,7.38,4.51,7492.824388533276
265,1.21,4,4.28,7.5,61.3,56.0,6.85,6.89,4.21,5929.9078096889025
266,0.7,4,7.14,3.75,61.5,57.0,5.67,5.74,3.51,2454.218268056751
267,0.53,4,2.85,5.0,62.2,56.0,5.15,5.2,3.22,1422.671015164533
268,0.46,4,8.57,6.25,61.9,55.0,4.94,4.97,3.06,1633.10027473441
269,0.41,4,5.71,10.0,61.7,56.0,4.79,4.81,2.96,1692.9957225526377
270,0.37,6,7.14,5.0,61.0,58.0,4.61,4.63,2.82,891.4168082955603
271,0.58,4,7.14,2.5,60.9,57.0,5.4,5.44,3.3,1622.218781362173
272,0.72,10,7.14,3.75,59.5,62.0,5.85,5.74,3.45,2647.9035695236926
273,1.5,8,5.71,3.75,58.4,65.0,7.45,7.41,4.34,7649.937372860002
274,1.31,6,4.28,5.0,61.4,59.0,6.96,7.01,4.29,6204.364685811708
275,1.0,6,10.0,3.75,62.1,58.0,6.34,6.45,3.97,4343.356711489721
276,0.41,10,5.71,8.75,60.3,60.0,4.78,4.74,2.87,1528.3830389003451
277,0.38,4,7.14,8.75,61.0,57.0,4.67,4.71,2.86,1470.5954139332262
278,0.35,10,8.57,8.75,60.7,59.0,4.58,4.55,2.77,1369.3949100929367
279,0.3,10,10.0,5.0,61.7,58.0,4.32,4.3,2.66,707.8050063592909
280,1.13,4,2.85,6.25,61.6,54.0,6.72,6.74,4.15,5117.492708549231
281,0.37,10,8.57,7.5,60.9,59.0,4.61,4.65,2.82,1274.5705167666583
282,0.39,10,5.71,7.5,60.7,61.0,4.73,4.7,2.86,1210.6936832851989
283,0.5,8,10.0,3.75,63.9,56.0,5.02,4.93,3.18,1514.863341259259
284,0.31,4,8.57,5.0,61.5,56.0,4.39,4.42,2.71,694.205283464742
285,1.72,8,10.0,2.5,63.4,62.0,7.53,7.59,4.79,8623.50833887554
286,1.27,4,4.28,3.75,59.8,57.0,7.08,7.01,4.22,5927.457824319941
287,1.0,8,10.0,5.0,62.8,61.0,6.31,6.34,3.97,4476.144466418131
288,1.59,10,2.85,5.0,59.9,60.0,7.61,7.57,4.55,8030.562081421807
289,0.38,6,7.14,5.0,60.9,56.0,4.67,4.72,2.86,931.3931855151659
290,2.39,4,1.42,6.25,62.1,57.0,8.53,8.57,5.31,13328.304869848665
291,1.01,10,7.14,3.75,62.2,59.0,6.36,6.41,3.97,4212.589374080917
292,0.31,10,4.28,8.75,62.6,58.0,4.33,4.29,2.7,935.237282697768
293,2.05,4,1.42,6.25,61.8,58.0,8.12,8.16,5.03,11052.341572602532
294,0.7,8,7.14,3.75,61.1,61.0,5.68,5.71,3.48,2434.3074453642894
295,1.01,2,2.85,1.25,56.1,63.0,6.7,6.65,3.74,4173.0211852021
296,1.55,6,4.28,5.0,63.3,56.0,7.38,7.32,4.65,7588.095616092129
297,0.33,10,8.57,8.75,59.7,58.0,4.49,4.52,2.69,1280.1833534024681
298,1.51,10,8.57,3.75,62.9,62.0,7.31,7.21,4.57,7390.830129673681
299,0.26,6,10.0,7.5,59.1,59.0,4.21,4.28,2.51,862.1612742911784
300,1.01,10,10.0,3.75,59.8,54.0,6.6,6.5,3.93,4548.163909531953
301,0.42,6,10.0,3.75,60.2,57.0,4.85,4.89,2.93,1149.8066967032537
302,1.03,10,4.28,1.25,62.9,59.0,6.41,6.3,4.0,3820.4823861225796
303,1.57,4,2.85,2.5,62.6,58.0,7.38,7.41,4.63,7342.807888581296
304,1.01,6,5.71,6.25,63.1,55.0,6.34,6.37,4.01,4473.879750736904
305,2.51,10,1.42,2.5,59.3,58.0,8.87,8.83,5.25,14016.641378310864
306,0.7,6,10.0,3.75,63.2,55.0,5.62,5.65,3.56,2567.435692442632
307,0.95,4,5.71,5.0,61.6,56.0,6.34,6.3,3.89,4057.910557151483
308,0.32,4,8.57,2.5,62.7,55.0,4.39,4.42,2.76,409.09194031725747
309,1.25,10,1.42,2.5,62.3,59.0,6.82,6.86,4.26,5189.409527765065
310,2.26,10,2.85,2.5,62.0,58.0,8.4,8.37,5.2,11978.07598526187
311,0.28,4,5.71,10.0,60.9,57.0,4.24,4.27,2.59,1109.9566478936795
312,1.52,4,2.85,3.75,61.4,57.0,7.4,7.43,4.55,7308.326264715806
313,0.4,8,10.0,6.25,56.3,59.0,4.94,4.97,2.79,1437.2961816809093
